id;name;url;license;user_id
1;Savings Account real-time Engineer;https://evelyn.biz;Principal Monitored;1
2;synergize zero defect digital;http://josiane.org;Bridge Central parse;1
3;overriding;http://ron.com;Pizza Solomon Islands Dollar;1
4;Small;https://cathy.org;syndicate;1
5;USB encoding Upgradable;https://freddie.info;generate Kids;1
6;methodology;http://rebeka.net;Corporate Club;1
7;Gold;http://sheridan.com;Graphic Interface Specialist;2
8;COM e-business;http://kitty.biz;digital;2
9;Marketing Metal;http://brigitte.biz;Cotton Handmade;1
10;Berkshire;https://eino.com;capability JSON;2
